symbol,source,headline,link,published_at
INFY.NS,Google News,Infosys share price: IT stock up 5% in a month; here’s why Geojit sees more upside - Business Today,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPYTVIMFJjLXFHa3RTdDU3RER5bFRYLXkzNEdCaHQtVElacFBtT3ZzbktxTTJEMWtSd0ZhclRnU3hjdEZieFZ6cEFaUHdJVXJ5aEZ2YUxHM0lCbHRnb253OHRuaFRzLWE3enJucmtLeXNQd1QxYWJ6dThQR2hjUUQ1Z2N4aUFkZWVjMFBidXhyZXV2T1hkMmNKT3Zkd0N4amdRUmFSTjZkY0FWNm1rcEE1NTBsUG1uUm1RZG9oOU5MTVNhN2JkaGJ0SVFOWDhUbGdYM01DUThYSExtMlotRV9n0gHkAUFVX3lxTE54RlZpTGFxazNEZllBZGFRV2lVNzlPTkRlSnRhVW1XRVUzNUlJaC1PdUFSOFJaZ2pXaXV4b2c3NVM1OFNQNjRhblk3dEhESkpVZENvaU5aaFVOZW5VZU5CeGxFM1Z5V1pYcWJKdGRXdURpUHY1cVBOb01fMnBSUUhDLWl6cTFJemtjeEV6MHVscFhQMUc5Z1hVY0tDUGlMX2lVWEJBcl9ZaDRYTnNoMTJwM0d3ZEhPV1JScUxyeGFqZXpMcG9PWEVtT3daUmNMS2o4TF9ZUHBmNkt2TEJ4M1ZBcFd5TA?oc=5,2025-10-29 06:54:34
INFY.NS,Google News,"Infosys Ltd Trades 7.07 Million Shares Today, Total Value Hits Rs 105.84 Lakhs - Markets Mojo",https://news.google.com/rss/articles/CBMizgFBVV95cUxORExHRDVEYm9qOERaTTZyRzJOMzRvekFRbDVkckN6NGNJeDd2NUtDakdzRDNKMy1hTjQ1SlY1cVBNU1o1bnVVRTlSTV9Mc1NnZDQ5QWVWMkR2a21IcDJQazJWb0Y4UDR2RlVjUV9MWnMxUkVkSkhNWTdyMjRrSGlRUlNRMTUxd3V4U1I3RV9fRmVtZmdKYjN5ZUkxb09RRFl3UkxwR2FQdUdRRHp3eEtnM3Utand0MEhUOEw1X1pOTjh5NWdSc0sxWVV2TS02UQ?oc=5,2025-10-29 06:16:22
INFY.NS,Google News,Infosys (NYSE: INFY) to modernize Metro Bank finance with Workday Financial Management - Stock Titan,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNRUZWMnRYemQ0VTVVbkhLdDNZWE9wbjBxZGRhTWUtSmVRcWlSOHFwTWdBWm1zMnN5SzNXVk9UYmFza2tOc185ZmZNeHIyZGRRTzNZVGZUWGRHS0UtUVotdmNteWEwMXR6YXJzTUhLbXZlLWJiY3ptZWRIc05GQTdNemFNdmJZZjBHZXF6SzROWTB4d2MzeldGYTRrdVl3OHNNNnRkT2xHQklLQ3I0VWc2cXJPR2EyQVJqemRtWVl2Yno?oc=5,2025-10-29 10:23:00
INFY.NS,Google News,Infosys share price: IT stock up 5% in a month; here's why Geojit sees more upside - MSN,https://news.google.com/rss/articles/CBMizwFBVV95cUxQM2I5Sl8xNVdjLXAzMGxDMmtlQnhNQm5tc2E1VzJjNFBVU0haMWZZdUI2RkQ3NW15ZktqdENDYmZtWmM0bm1EQlpvbkVpSGhFOXprMXc0VjlDQ3UxV3g3NXBicXNwU1Y4QlREbENwanVLdkhCS1N3cm12UGdkYVFNRmxuRWhTc3VSTXNJTlVsTHZfTW9faFg5cWt3WC1HSGRyV05RdGU5YndhSmJtNndmZkJiYU40YzRjcllrb3kxTTNzNW5qVGg5SjlJTjQzNjg?oc=5,2025-10-29 07:59:33
TCS.NS,Google News,"Tata Consultancy Services Ltd. Trades 3,050,076 Shares Valued at Rs 93,303.04 Lakhs Today - Markets Mojo",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPTzJWX2hRMEpPa3hqZFQwRkhJejIxOXJ3ME0ydzR1NkZNNlFzanhnNjNzb2UzWHhuX2FKZEJ3NUpjZUlZNUVlM3pfUHVwbHdkNlpBQ05YTVNEMHFIem9qRDNnbkZJOFg5dEV1Qlhlc2JnbDd0ZmJGS2x4WVhkaUtLU0hYSDdfWVp2TlM2ODQ2dFBPYkREemI4a005Ui1Da0dSWE9VRkdmY0FVQUdYeDQ1czJBOTFvN01BZjRnT2dzNGhVTHQyNUNZX013d2QwMXo5dXhYYUFYWFVxZw?oc=5,2025-10-29 05:29:38
HDFCBANK.NS,Google News,"Nifty50 Surges 18% from March Lows, Driven by HDFC Bank, Reliance, and Bharti Airtel - scanx.trade",https://news.google.com/rss/articles/CBMizwFBVV95cUxNcVQ3OC1POEp1MHRDR0laN0pyZHNOMmFoOS1KcVZtRzFhcWFfb1Q1WGxlamJOVlk4ZVZRcy1hTXI5bTRVXzBybmY4MnJfcXhBalBRWDJHRlZmb3M0ZFhjTDBoYkpEb0l0WjBGc252MmhfTkU3VFp2V0R4WG9JaTNuel9TcWp1dmNxYzZRS3A5VG5HbTcyTVlWQ0J1Y0c4Z3FuMGluN3dWVXE2ZDdDTlVYS05OdURmb2xET2NIblljMG1ONHFRTFpKa0k1N0FZb00?oc=5,2025-10-29 11:34:09
HDFCBANK.NS,Google News,HDFC Bank Ltd. Surges with 33.9 Million Shares Traded Today - Markets Mojo,https://news.google.com/rss/articles/CBMitgFBVV95cUxPN1lYUG1fOHBGNEJ3ZGdnamd6cjJwd1Rza0lQekdaWjNsd0thN2JqcXBvRThjcHN4eDhEZEUzc0FiR3VWcDNLcUc3M1FwU1pKc3JPZHN3V19qUmJWeW9PTFdKb2pXSmxhY2lua0NYZ0VzVU1DTGh2dVI2YzBjQ01PbGFlWTRjVWRnX0VBQzJmVno0dS1yYVVYb3Y4MWt1b25KRDh0aHR4eWVoSmp6aHpzUkJtZ2tDdw?oc=5,2025-10-29 05:56:30
HDFCBANK.NS,Google News,"HDFC Bank, Reliance and Bharti Airtel fuel a third of Nifty's 4,000-point rally - CNBC TV18",https://news.google.com/rss/articles/CBMi3gFBVV95cUxNU05ibWVqVGhGQUtWbGpQbU1fRnZNUmhZb0RXWEotUzhBU3ZhcFdxTkhEODZZdTlTa280X3Q4a2tXSlFzVGd0X0JIdXpxSm9nbG1iLTJOMVEtaTN0LXdOaVVQTGctdks1TXZsNW5zOTdPWHN5VFJYOXU0QmNtWnZKSWU5UFVfcHQyWEZlRFZ3MXVsLTRsQkZES3gzcWUwQ181TnBVNHlVRXpnZ1U5Yy1uM1lHTWx5NktLVUVEbjVtQVEweWtObXo5MWtENDJLSzFMcE1IT1VIaEdXeXR6OXfSAeMBQVVfeXFMT3JFa1N4LTFkUkRBNmUxRnlPRlRMQzdEM2gxTTN0WVVjaWFCcEg5WmVZQjFzaXdpWkoyMU52bi1YOHZ3ZlVPSXVkN2FKT1pRZW9Tb2tHU2ZNazFhbl9yS01NeVdoMk1qaHU5ODFVZGMtRzdvTmtCcVFrMjI1ZmFqbjJPUG54Sjh2dUg2c0ZzQnNJWTVSTW5GMzZ5QnhWM3pGSENWbFJRbEF4UWVTN25fNF9ib2g0RUJWS1BuLVR3bU9sQktXa0Y4aGtrRkhwX0lieUU4bkl4cnFjeHNESVFNd2Mxa3c?oc=5,2025-10-29 11:03:24
HDFCBANK.NS,Google News,"Stock Market Today: Nifty Slips From Days High But Ends Above 26,000, Sensex Closes 400 Points Higher - NDTV Profit",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQSjBRQnc3UWkzeU9PdGVZa1ZERGhYT3BPRWFOUnVtbnl2eThiVkt4QU9sVS1pd1FLR1BBbE4zdWFlWnlsSm1zWlZUZnZwbW1qVnR1N05VRzF1Qjl6VWZQM2R5VU1Wci1FQlNSX1VMZ0FNZjNXR1pvTnhmWm8wUmNGNVVmTGlfazREQnRIZGJrMm1wRDhxemNMUzExMGN2bUZ5UlZlb1lCM1dyd1Q1OXRRM1JJUXJGeTdpXzhrdWtORkJIcUNaWk9QQW9pY1hxV2VHRk13dzNjbzY5MHRZYUR6Q9IB5gFBVV95cUxPMDhkcmVPZ1VuZW5HR091WGdYWVdvQVcxMzJXQ29taTE2UVJpUjN3NjhoODF0bkFldnRXSkJGLTYzeTFvRng1QnY4ZnhSX2x2MHAxMWhrd1BLdG1NVVBfQ1hNd005MXVTakc3bXEwbS1HaHVHYkJlT2VFS3FBVFFFWjhDbUVyRmJJbVNHU0tFUEVDV21YclFHMktzZTg0b2pVRS1PZmczUUpHZkpMVzBXYVFXTDd1eWZSUS0wVnkxdUFvRW9QRk9GQlgwUWQ0TWV5WFlaVUlDSTl1SUw5ZDNIVEQwWGU2UQ?oc=5,2025-10-29 10:05:17
HDFCBANK.NS,Google News,"HDFC Bank's Rs 1000 Puts Surge with 6,670 Contracts Traded, Open Interest at 2,420 - Markets Mojo",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQNUlLLUNVT3VXNERia2VmWGdZX1Qxa1AyaVRHUHFYWFB4UWh6SC1DZTV5a0c3a2g5ZjVTVGpjTjFzWkVvUk0tZmpaTVY4aVlJZWpDZlZXOFRiVXJKNGxoSXU1NGtER3g0cEZRcWViQU5DbjVhVXRqY1kyLWlZVnVZY2pHR05kR1plZWI0WFgtM2JqVWo0WFdfeXR4RDN6dld0NkNBYUdpUkJ0aVFYdEtCYm5lcnBoNUJaczhBTFlkRjNFamp4VFBuLVI0czhDLVNIc2c?oc=5,2025-10-29 05:56:31
